replicate,root_seed,users,kind_users,controls,raw_gap_pp,raw_p_two_sided,fe_gap_pp,fe_p_two_sided,full_gap_pp,full_p_two_sided
17,20260826,497790,248895,248895,0.2932963699552019,5.700685988057268e-50,0.2932963699551917,4.628134470944794e-50,0.2512411202558598,3.3245876326880495e-37
18,20260826,497792,248896,248896,0.32141938801748526,2.3129059274025565e-61,0.32141938801748704,1.7877755593874316e-61,0.28238438057658743,5.2036236227471187e-48
19,20260826,497780,248890,248890,0.31499859375627787,1.2766732081985437e-58,0.3149985937562734,1.002229126981515e-58,0.27521865233140075,2.1064656283303408e-45
20,20260826,497796,248898,248898,0.32181857628426097,1.5487819746443199e-61,0.32181857628426347,1.1871695608227187e-61,0.2838049920347213,1.7332320864634694e-48
21,20260826,497794,248897,248897,0.3101684632599027,1.28197436265919e-56,0.3101684632598999,1.0099129685686385e-56,0.2686651449302473,6.182679657645424e-43
22,20260826,497790,248895,248895,0.2953052492014705,9.84278993631468e-51,0.29530524920147355,8.02537602408898e-51,0.2540162555461394,4.921255206763663e-38
23,20260826,497784,248892,248892,0.3121835977050287,1.902969674032129e-57,0.3121835977050249,1.4993861911976258e-57,0.2691171186169852,3.1783275928735317e-43
24,20260826,497758,248879,248879,0.3085836892626538,5.819078895752365e-56,0.3085836892626519,4.611248624588795e-56,0.2687338530541392,4.824233496932161e-43
25,20260826,497802,248901,248901,0.3113687771443264,4.0905448963656975e-57,0.3113687771443212,3.2055364183532654e-57,0.2726238200279013,2.093055543607596e-44
26,20260826,497770,248885,248885,0.3129959619904775,8.826673593077973e-58,0.3129959619904783,7.009688395939186e-58,0.2725919453949045,2.156941830552029e-44
27,20260826,497784,248892,248892,0.30173729971232505,3.166597632710263e-53,0.30173729971232444,2.5304087677927706e-53,0.26064523721185784,3.6317255541414214e-40
28,20260826,497788,248894,248894,0.3166006412368318,2.6820245071860684e-59,0.31660064123684306,2.1041856057315786e-59,0.27676190462885586,6.8804926387563106e-46
29,20260826,497788,248894,248894,0.3021366525508851,2.198775434960358e-53,0.30213665255088895,1.7570484579551663e-53,0.25899254355863327,1.3720740851957583e-39
30,20260826,497768,248884,248884,0.31781874286816353,8.256760227709678e-60,0.31781874286816314,6.452952343562117e-60,0.2796584878190408,7.123641712230729e-47
31,20260826,497788,248894,248894,0.3149935313828377,1.2766860459329442e-58,0.31499353138283437,9.975494377192754e-59,0.2736492573541629,6.041051885945537e-45
32,20260826,497782,248891,248891,0.3089705935530011,3.9911379577035007e-56,0.3089705935530082,3.211269977812943e-56,0.26679980779654344,2.7910442485438106e-42
33,20260826,497780,248890,248890,0.3073646992647354,1.7958420898099625e-55,0.30736469926473436,1.4243473611558272e-55,0.26752253551755784,1.5905850963401566e-42
34,20260826,497788,248894,248894,0.29771710045240146,1.1686003057343622e-51,0.2977171004524169,9.476309195190947e-52,0.25838147664179123,1.767556766267643e-39
35,20260826,497794,248897,248897,0.3013294656022371,4.5572240927900025e-53,0.3013294656022382,3.655906066349828e-53,0.25841948617964317,1.6727005542198715e-39
36,20260826,497778,248889,248889,0.3145980738401456,1.882222988460465e-58,0.3145980738401469,1.4766733356480163e-58,0.278037293805249,2.3975449691665348e-46
37,20260826,497790,248895,248895,0.3294561963880351,6.564680511381059e-65,0.3294561963880339,5.015748438785896e-65,0.2903935568623871,5.856174791278846e-51
38,20260826,497776,248888,248888,0.31299218925781874,8.826739322798852e-58,0.3129921892578119,6.970416265302315e-58,0.2749249676520668,2.4964902214452773e-45
39,20260826,497798,248899,248899,0.30413943004993993,3.510989376694189e-54,0.30413943004994076,2.809052526920721e-54,0.2615872396249433,9.634861106417584e-41
40,20260826,497792,248896,248896,0.31057148367189513,8.766600112813418e-57,0.3105714836719022,6.923649174194149e-57,0.269443522840544,2.504887577320118e-43
41,20260826,497784,248892,248892,0.3053533259405686,1.1577245065022006e-54,0.30535332594057163,9.356893003621087e-55,0.2654615256725585,5.224696706876345e-42
42,20260826,497778,248889,248889,0.31299093170047687,8.826761232460351e-58,0.3129909317004664,6.997370572953398e-58,0.27355195277166505,1.0974647077024353e-44
43,20260826,497776,248888,248888,0.3053582334222622,1.1577135625002189e-54,0.3053582334222552,9.260785695448208e-55,0.2651028854060501,1.1990501227416108e-41
44,20260826,497778,248889,248889,0.3029462933275476,1.05781982022389e-53,0.3029462933275558,8.437908498808026e-54,0.25999445477389355,4.263595877706439e-40
45,20260826,497780,248890,248890,0.30696291534412795,2.6107641847502975e-55,0.3069629153441319,2.061006125321115e-55,0.26786463380875963,9.545837387419369e-43
46,20260826,497790,248895,248895,0.30856385222684257,5.819303565837176e-56,0.30856385222683497,4.562909233327409e-56,0.268570945399844,5.710030728915872e-43
