model,estimand_class,variable,primary_term,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,opportunities,collapsed_rows,chooser_clusters,rank
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_30_60,False,estimated,-0.41386372506553926,0.06831397754777928,-6.058258352415215,1.3760326665780706e-09,-0.5477566606998645,-0.279970789431214,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_60_180,False,estimated,-0.11688831968467639,0.06872530325878423,-1.7008047129968267,0.088979663990996,-0.25158743889848667,0.01781079952913392,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_missing,False,estimated,-0.6875377095780095,1.1756340153524611,-0.5848229130831011,0.5586667959390212,-2.9917380386690424,1.6166626195130234,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_100_200,False,estimated,0.2875375548909753,0.012391526533372702,23.204369059500685,4.11349792755842e-119,0.26325060917209236,0.3118245006098583,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_200_plus,False,estimated,1.1626852864150625,0.0391880017383874,29.669420098961837,1.905296045274032e-193,1.0858782143817303,1.2394923584483948,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_50_100,False,estimated,0.030118782573131497,0.008280944594822743,3.6371191991746685,0.0002757043619739422,0.01388842940930729,0.046349135736955704,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_lt_m200,False,estimated,2.8854328595403462,0.07372694403903753,39.136748405203726,0.0,2.740930704533633,3.0299350145470596,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_m100_m50,False,estimated,0.5346018951081444,0.010410392675697744,51.35271182960573,0.0,0.5141979003988573,0.5550058898174315,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_m200_m100,False,estimated,1.0465456182473867,0.01809105961495993,57.84877395362586,0.0,1.0110877929598983,1.082003443534875,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_m50_0,False,estimated,0.1752936475777398,0.006064243924351688,28.906101034924973,1.000696467270615e-183,0.16340794789254465,0.18717934726293495,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron,True,estimated,4.973498727035407,0.49381308359906245,10.071622021002382,7.375160586798853e-24,4.005642868086578,5.941354585984237,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_disconnected_better,True,estimated,-1.6908274760665458,0.0194168745269362,-87.08031118607339,0.0,-1.728883850831674,-1.6527711013014177,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_roughly_equal,True,estimated,-1.359041033751336,0.018058082786264737,-75.2594309062003,0.0,-1.3944342256422575,-1.3236478418604143,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_modestly_worse,True,estimated,-3.2086646445149927,0.019315500965957466,-166.11863446721324,0.0,-3.246522330751618,-3.1708069582783676,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_clearly_worse,True,estimated,-4.200743443178713,0.01905602062425481,-220.44179768739016,0.0,-4.238092557290905,-4.163394329066522,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_disconnected_better,True,estimated,-2.2084853810882645,0.4469863425447733,-4.94083413939442,7.778906017738909e-07,-3.084562514057304,-1.3324082481192252,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_roughly_equal,True,estimated,-2.304233250223815,0.5441030106951019,-4.234920970718602,2.286320984941371e-05,-3.3706555550660267,-1.2378109453816033,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_modestly_worse,True,estimated,-4.673543411421008,0.4644690574630657,-10.062120040779348,8.122995596792615e-24,-5.583886035981881,-3.7632007868601343,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_clearly_worse,True,estimated,-5.231796624199635,0.48209802316855505,-10.852142868817472,1.948038762060158e-27,-6.17669138662796,-4.286901861771311,CR1_chooser,32858962,29562512,1305683,55
patron_by_favorable_price_in_fair_states,appendix_secondary,intercept,False,estimated,5.45169912511119,0.3728225163974027,14.622773264316635,2.0104141838031083e-48,4.720980420346687,6.1824178298756935,HC1,12399592,11589903,1233060,49
patron_by_favorable_price_in_fair_states,appendix_secondary,tournament_like,False,estimated,-2.165038462325188,0.030407095696657272,-71.20175119398844,0.0,-2.2246352747650993,-2.1054416498852766,HC1,12399592,11589903,1233060,49
patron_by_favorable_price_in_fair_states,appendix_secondary,month_2023_12,False,estimated,-0.09495224186589724,0.039463994205143994,-2.4060474307874427,0.016126170862665778,-0.17230024919407688,-0.017604234537717603,HC1,12399592,11589903,1233060,49
patron_by_favorable_price_in_fair_states,appendix_secondary,month_2024_01,False,estimated,-0.09229402404035625,0.03960617721338702,-2.3302936696743495,0.019790635112792634,-0.16992070494390576,-0.014667343136806718,HC1,12399592,11589903,1233060,49
patron_by_favorable_price_in_fair_states,appendix_secondary,month_2024_02,False,estimated,-0.18688979698177377,0.039772146849163095,-4.699012042034296,2.61423041159929e-06,-0.2648417723939716,-0.10893782156957592,HC1,12399592,11589903,1233060,49
patron_by_favorable_price_in_fair_states,appendix_secondary,month_2024_03,False,estimated,-0.26436579544908057,0.03912327615241949,-6.757250962806484,1.4063447747892411e-11,-0.34104600766503756,-0.18768558323312357,HC1,12399592,11589903,1233060,49
